image_id,file_path,ground_truth_label
001,data/images/img_001.jpg,258
002,data/images/img_002.jpg,207
003,data/images/img_003.jpg,834
004,data/images/img_004.jpg,258
005,data/images/img_005.jpg,207
006,data/images/img_006.jpg,834
007,data/images/img_007.jpg,258
008,data/images/img_008.jpg,207
009,data/images/img_009.jpg,834
010,data/images/img_010.jpg,258
011,data/images/img_011.jpg,207
012,data/images/img_012.jpg,834
013,data/images/img_013.jpg,258
014,data/images/img_014.jpg,207
015,data/images/img_015.jpg,834
016,data/images/img_016.jpg,258
017,data/images/img_017.jpg,207
018,data/images/img_018.jpg,834
019,data/images/img_019.jpg,258
020,data/images/img_020.jpg,207
021,data/images/img_021.jpg,834
022,data/images/img_022.jpg,258
023,data/images/img_023.jpg,207
024,data/images/img_024.jpg,834
025,data/images/img_025.jpg,258
026,data/images/img_026.jpg,207
027,data/images/img_027.jpg,834
028,data/images/img_028.jpg,258
029,data/images/img_029.jpg,207
030,data/images/img_030.jpg,834
031,data/images/img_031.jpg,258
032,data/images/img_032.jpg,207
033,data/images/img_033.jpg,834
034,data/images/img_034.jpg,258
035,data/images/img_035.jpg,207
036,data/images/img_036.jpg,834
037,data/images/img_037.jpg,258
038,data/images/img_038.jpg,207
039,data/images/img_039.jpg,834
040,data/images/img_040.jpg,258
041,data/images/img_041.jpg,207
042,data/images/img_042.jpg,834
043,data/images/img_043.jpg,258
044,data/images/img_044.jpg,207
045,data/images/img_045.jpg,834
046,data/images/img_046.jpg,258
047,data/images/img_047.jpg,207
048,data/images/img_048.jpg,834
049,data/images/img_049.jpg,258
050,data/images/img_050.jpg,207
051,data/images/img_051.jpg,834
052,data/images/img_052.jpg,258
053,data/images/img_053.jpg,207
054,data/images/img_054.jpg,834
055,data/images/img_055.jpg,258
056,data/images/img_056.jpg,207
057,data/images/img_057.jpg,834
058,data/images/img_058.jpg,258
059,data/images/img_059.jpg,207
060,data/images/img_060.jpg,834
061,data/images/img_061.jpg,258
062,data/images/img_062.jpg,207
063,data/images/img_063.jpg,834
064,data/images/img_064.jpg,258
065,data/images/img_065.jpg,207
066,data/images/img_066.jpg,834
067,data/images/img_067.jpg,258
068,data/images/img_068.jpg,207
069,data/images/img_069.jpg,834
070,data/images/img_070.jpg,258
071,data/images/img_071.jpg,207
072,data/images/img_072.jpg,834
073,data/images/img_073.jpg,258
074,data/images/img_074.jpg,207
075,data/images/img_075.jpg,834
076,data/images/img_076.jpg,258
077,data/images/img_077.jpg,207
078,data/images/img_078.jpg,834
079,data/images/img_079.jpg,258
080,data/images/img_080.jpg,207
081,data/images/img_081.jpg,834
082,data/images/img_082.jpg,258
083,data/images/img_083.jpg,207
084,data/images/img_084.jpg,834
085,data/images/img_085.jpg,258
086,data/images/img_086.jpg,207
087,data/images/img_087.jpg,834
088,data/images/img_088.jpg,258
089,data/images/img_089.jpg,207
090,data/images/img_090.jpg,834
091,data/images/img_091.jpg,258
092,data/images/img_092.jpg,207
093,data/images/img_093.jpg,834
094,data/images/img_094.jpg,258
095,data/images/img_095.jpg,207
096,data/images/img_096.jpg,834
097,data/images/img_097.jpg,258
098,data/images/img_098.jpg,207
099,data/images/img_099.jpg,834
100,data/images/img_100.jpg,258
